precision,recall,f1,hashcode
0.893365324,0.887251616,0.890297949,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.888054907,0.88369298,0.885868609,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.879556835,0.886007071,0.882770181,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.891841948,0.886593342,0.889209926,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.858922303,0.863447845,0.861179113,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871537805,0.88129741,0.876390398,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878510594,0.882557094,0.880529165,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871733427,0.885696054,0.878659248,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.860566795,0.879319549,0.869842172,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883515775,0.889673769,0.886584044,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.843853951,0.873423219,0.858384013,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.846797884,0.871408224,0.858926773,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.945470095,0.958788812,0.952082813,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.859879971,0.879743218,0.869698226,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.869427383,0.874985158,0.87219739,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.892805517,0.875534475,0.884085655,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.887107491,0.875622571,0.881327629,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.86412859,0.873150051,0.868615866,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872263253,0.880243301,0.876235187,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.897189379,0.889945447,0.893552661,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.878562927,0.867295504,0.872892857,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
