precision,recall,f1,hashcode
0.865479708,0.875598848,0.870509863,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.8800143,0.892790079,0.886356115,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.884357929,0.897170246,0.890717983,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.870580316,0.892165601,0.881240845,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.871905446,0.883507729,0.877668262,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.863196075,0.878176987,0.870622098,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.877843261,0.888971329,0.883372247,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.843446672,0.853264213,0.8483271,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.865095675,0.858103216,0.861585259,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.860682309,0.872000217,0.866304338,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.973191321,0.912131071,0.941672444,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.829798281,0.851271868,0.840397954,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.852747023,0.860462487,0.85658741,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876488507,0.875471175,0.875979543,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.883087277,0.869034171,0.876004398,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.866147578,0.864113212,0.865129173,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.972595572,0.911462367,0.941037118,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.868297219,0.860518038,0.864390075,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.851822019,0.856049657,0.853930652,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.8515324,0.862656474,0.857058346,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.819232285,0.843365014,0.831123471,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.850340247,0.862434685,0.8563447,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.855230749,0.865623713,0.860395789,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.836211264,0.858696461,0.847304761,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.850744069,0.863181412,0.85691762,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.831324995,0.854994595,0.842993677,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.87875247,0.876715899,0.877732992,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.881191492,0.8684659,0.874782443,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.872477055,0.878147781,0.875303149,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.858288765,0.874582052,0.866358817,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
0.876744628,0.87163043,0.874180019,roberta-large_L17_no-idf_version=0.3.10(hug_trans=4.10.2)
